shortcode,media_id,mediaID_sec,created_at_unix,created_at_utc,epoch_estimate,is_multiple,count,is_video,vid_duration,off_by
pKfy3sP-SZ,7.41544923869734E+017,88399043.544,1402619065,2014-06-13 00:24:25,2011-08-24 21:07:01,False,None,False,None,1
ppJb83v-co,7.50172316138203E+017,89427508.847,1403647530,2014-06-24 22:05:30,2011-08-24 21:07:01,False,None,False,None,1
ppYL6iv-RR,7.50237184824436E+017,89435241.797,1403655263,2014-06-25 00:14:23,2011-08-24 21:07:01,False,None,False,None,1
pt7NkVP-Y5,7.51517129949308E+017,89587823.146,1403807844,2014-06-26 18:37:24,2011-08-24 21:07:00,False,None,False,None,0
-PTH3WP-RV,1.12119893558768E+018,133657328.556,1447877350,2015-11-18 20:09:10,2011-08-24 21:07:01,False,None,True,0,1
pw3_F-P-c0,7.52347366069102E+017,89686795.004,1403906816,2014-06-27 22:06:56,2011-08-24 21:07:00,False,None,False,None,0
pW6YLTP-ak,7.45039536475597E+017,88815633.83,1403035655,2014-06-17 20:07:35,2011-08-24 21:07:01,False,None,False,None,1
pW7RSVv-cR,7.45043461043906E+017,88816101.675,1403036123,2014-06-17 20:15:23,2011-08-24 21:07:01,False,None,False,None,1
q12pw2v-Tg,7.71763275632207E+017,92001351.789,1406221373,2014-07-24 17:02:53,2011-08-24 21:07:01,False,None,False,None,1
q2PhvqP-f_,7.71872675755715E+017,92014393.3,1406234415,2014-07-24 20:40:15,2011-08-24 21:07:01,False,None,False,None,1
qDBqoRv-Xw,7.57456489840371E+017,90295850.019,1404515871,2014-07-04 23:17:51,2011-08-24 21:07:00,False,None,False,None,0
qDywtpP-SD,7.57672412199249E+017,90321589.97,1404541611,2014-07-05 06:26:51,2011-08-24 21:07:01,False,None,False,None,1
qE2muBv-Xd,7.57970792578279E+017,90357159.683,1404577181,2014-07-05 16:19:41,2011-08-24 21:07:01,False,None,False,None,1
qFbWqwv-fW,7.58132417281124E+017,90376426.849,1404596448,2014-07-05 21:40:48,2011-08-24 21:07:01,False,None,True,0,1
qfQxWEP-Qt,7.65404221368428E+017,91243293.448,1405463315,2014-07-15 22:28:35,2011-08-24 21:07:01,False,None,False,None,1
qhWz5JP-ap,7.6599373470472E+017,91313568.914,1405533590,2014-07-16 17:59:50,2011-08-24 21:07:01,False,None,True,0,1
qIK4CXv-X9,7.58904368513673E+017,90468450.607,1404688472,2014-07-06 23:14:32,2011-08-24 21:07:01,False,None,False,None,1
qIM8R_P-bm,7.5891345625343E+017,90469533.95,1404689555,2014-07-06 23:32:35,2011-08-24 21:07:01,False,None,False,None,1
qK1Vavv-bO,7.59654055457843E+017,90557820.255,1404777841,2014-07-08 00:04:01,2011-08-24 21:07:00,False,None,False,None,0
qm6vabP-eB,7.67559131400759E+017,91500178.742,1405720200,2014-07-18 21:50:00,2011-08-24 21:07:01,False,None,True,0,1
qntBpwv-Zt,7.67780287143733E+017,91526542.561,1405746564,2014-07-19 05:09:24,2011-08-24 21:07:01,False,None,False,None,1
